title,name,location,time,verified,review,aircraft_model,type_of_traveller,seat_type,route,date_flown,rating,seat_comfort_rating,cabin_staff_service_rating,food_and_beverage_rating,inflight_entertainment_rating,ground_service_rating,value_for_money_rating,recommended
"""always polite and attentive""",N Aguilar,United Kingdom,2024-11-25,Trip Verified,,A330,Solo Leisure,Economy Class,Kathmandu to Doha,November 2024,9,5.0,5.0,5.0,5.0,3.0,4,
"""Onboard service was excellent""",S Deylan,United Kingdom,2024-11-24,Trip Verified,"The best thing about this airline is the good training of its staff. They have been trained to be polite even in the face of problems. It goes a long way to making the experience more pleasant than it otherwise could have been. The booking experience  via their website was not fully satisfactory as the seat map could not be accessed at the time of booking nor via 'Manage your booking' after the booking was made. I had to ring up the call centre  to request them to book my specific seats. The call-centre staff were polite and very willing to help, but the quality of the phone line was poor. Online check-in could not be fully completed, requiring manual document checks at the airport (Heathrow) for the issue of the boarding pass. However, the queues for the self-service check-in machines at the airport was very long and every passenger seemed to require manual documentation check by staff (who were too few to cope with this - but handled it politely)s. Onboard service was excellent and plenty of food provided for the flight. IFE had an impressive selection of movies and TV shows.",A350-900,Solo Leisure,Economy Class,London to Doha,October 2024,9,5.0,5.0,5.0,5.0,2.0,4,
"""Good provision of food""",N Galen,United Kingdom,2024-11-23,Trip Verified,,Boeing 787,Solo Leisure,Economy Class,Doha to Kathmandu ,October 2024,9,4.0,5.0,5.0,5.0,5.0,4,
"""leave the queue to adjust the weight""",V Hargan,Netherlands,2024-11-21,Trip Verified,"Traveling from Delhi to Düsseldorf, we encountered a long check-in queue, some open counters in the economy class were left unattended, with staff chatting instead of assisting passengers. We had an allowed baggage weight of 100 kg for our four tickets, each with a 25 kg limit. We checked in two bags, but the staff said that one bag weighed 27 kg instead of 25 kg and demanded payment for the extra 2 kg. We had to leave the queue to adjust the weight and upon returning, were asked to start from the end of the line. Onboard I had to settle for an Indian vegetarian meal, which I did not enjoy. While Doha airport was beautiful, we were transported to our connecting flight to Düsseldorf by bus, which was uncomfortable.",A350-900,Family Leisure,Economy Class,Delhi to Duesseldorf via Doha,August 2024,2,3.0,3.0,3.0,4.0,1.0,2,no
"""my food did not taste good""",S Gale,United Arab Emirates,2024-11-21,Trip Verified,The staff were not friendly to me at check in. The seats aren't comfortable and my food did not taste good. Planes are smaller than some airlines.,,Solo Leisure,Economy Class,Doha to Dubai,November 2024,2,2.0,3.0,3.0,3.0,1.0,2,no
"""They were so kind and helpful""",M Hanoje,Qatar,2024-11-17,Trip Verified,"I travelled with a baby on Qatar Airways. Though I added the baby late, they auto-assigned me a seat with a bassinet. On the flight, they were so kind and helpful. They had baby food and diapers. They helped me fetch milk from my bag. When the baby poured food all over me, they helped me clean up, including a member who wiped my feet. They were so kind and helpful - I was very moved.",,Family Leisure,Economy Class,Nairobi to Doha,November 2024,10,5.0,5.0,5.0,5.0,5.0,5,
"only offer you what is left""",M Lopez,Spain,2024-11-16,Trip Verified,,,Couple Leisure,Economy Class,Ho Chi Minh City to Barcelona via Doha,October 2024,2,2.0,2.0,1.0,3.0,3.0,2,no
"""service was slow""",P Maya,United States,2024-11-15,Trip Verified,,B777,Business,Business Class,Doha to New York,November 2024,1,4.0,1.0,1.0,,4.0,2,no
"""meal service was far below expectations""",M Saunders,United States,2024-11-15,Trip Verified,,Boeing 777-300 ER,Solo Leisure,Economy Class,New York to Mumbai via Doha,November 2024,4,4.0,2.0,1.0,1.0,3.0,2,no
"cut my trip short by one day""",Harley Salinas,United States,2024-11-15,Trip Verified,,,Couple Leisure,Economy Class,Kathmandu to Doha,November 2024,1,,,,,1.0,1,no
ticketing staff was unhelpful,P Reddy ,India,2024-11-14,Trip Verified,,Boeing 777,Solo Leisure,Economy Class,Bengaluru to London Heathrow,November 2024,4,2.0,3.0,2.0,3.0,1.0,3,no
"""reluctant to serve me champagne""",N Barton,Australia,2024-11-10,Trip Verified,,Boeing 777 / A350,Solo Leisure,Business Class,Melbourne to Nairobi via Doha,November 2024,7,5.0,4.0,3.0,2.0,4.0,2,
"""serve me cold omelette""",S Lobarda,Spain,2024-11-08,Trip Verified,"I always fly business class with Qatar Airways and this is the first time I got disappointed with the service, especially with the food. They serve me cold omelette and I asked for cappuccino they serve me like a glass of milk with a small amount of coffee.",A350-900,Business,Business Class,Doha to Milan,November 2024,1,3.0,1.0,1.0,3.0,1.0,1,no
"""expect them to provide transit accommodation""",Ameer Ali,Nepal,2024-11-08,Trip Verified,"I booked business class KTM-DOH-LHR and back with British Airways and Qatar Airways. 2 days before my flight back from London I get a message stating they have cancelled my connecting flight from Doha to KTM and replaced it with a flight next morning, with a 10 hour layover. I expect them to do is provide transit accommodation in Doha, when they they chose to put me through the unwanted 10 hour layover but they don't. I am asked to land in Doha and try my luck with the transfer desk, I am not amused by the thought of running around for accommodation past midnight when my flight lands. I call them, chat with them, my agent in KTM files a request , my travel agent sends a mail, and I filed a formal complaint. Nothing.",,Business,Business Class,London to Kathmandu via Doha,November 2024,1,,,,,1.0,1,no
"cancel the flight for operational reasons""",J Gregory,Cayman Islands,2024-11-07,Trip Verified,,,Solo Leisure,Economy Class,Madrid to Katmandu via Doha,November 2024,1,3.0,3.0,3.0,3.0,1.0,1,no
did not receive a premium experience,Mark Curran,United Kingdom,2024-11-07,Trip Verified,,Boeing 787-8,Couple Leisure,Business Class,Durban to Dublin via Doha,November 2024,1,3.0,1.0,2.0,1.0,3.0,1,no
Wifi on both legs was terrible,Mark Curran,United Kingdom,2024-11-07,Trip Verified,,"Boeing 787-9 , A350-900",Couple Leisure,Business Class,Dublin to Cape Town via Doha,October 2024,5,3.0,3.0,3.0,1.0,5.0,3,no
inflight service was very ordinary,B Saunders,Australia,2024-11-06,Trip Verified,,A320,Business,Business Class,Istanbul to Doha,October 2024,3,2.0,3.0,2.0,1.0,2.0,1,no
service outstanding from start to finish,Mouaad Joumani,Norway,2024-11-06,Not Verified,,Boeing 787-8 / Boeing 777-300,Solo Leisure,Business Class,Oslo to Hanoi via Doha,October 2024,10,5.0,5.0,5.0,5.0,5.0,5,
"""I wholeheartedly recommend them""",H Khaldin,Pakistan,2024-11-06,Trip Verified,"I've had the pleasure of flying with various airlines over the years, but Qatar Airways remains my top choice. Their exceptional service consistently impresses me, from lounge amenities to seamless departures and in-flight experiences, culminating in stress-free arrivals. Qatar Airways has earned my loyalty, and I wholeheartedly recommend them to friends and colleagues.",,Business,Economy Class,Doha to Karachi,October 2024,10,5.0,5.0,5.0,5.0,5.0,5,
excellent in all aspects,Mohamed Sobh,Qatar,2024-11-05,Trip Verified,,Boeing 787-8,Solo Leisure,First Class,Doha to Cairo,October 2024,10,5.0,5.0,5.0,5.0,5.0,5,
"""Staff very friendly""",E Morton,Australia,2024-11-05,Trip Verified,,Boeing 777-300ER,Solo Leisure,Economy Class,Melbourne to London via Doha,November 2024,7,3.0,5.0,4.0,5.0,4.0,3,
"""a very nice Economy experience""",J Hayne,United Kingdom,2024-11-01,Trip Verified,"Evening departure from BKK. Qatar really struggle with boarding on occasions and this was no different. Seats were changed at the gate as one of our reserved one’s were wet. Allocated into the rear cabin 38A + B. Seemed to be an older aircraft with an older configuration in the business cabin. Busy flight. The seat proved to be very comfortable and superbly thought out. The best there is I think. Safety issue of individuals roaming around the cabin aisles looking for empty seat rows, including someone moving up and down the aisle with his bags, opening and shutting overhead bins blocking the aisle While the aircraft is taxiing under power for departure. Something that should of been jumped on very quickly, but wasn’t. Food was exceptional for Economy, as was the service from a hard working pleasant crew. Overall this sector proved that this is the best Medium to long haul Economy cabin product there is. . Doha Hamad Airport is exceptional and a pleasant transfer. Second Sector on a Boeing 787-8. 19F + G either side of an aisle. Flight appeared to be full and Departed on time, early hours of the morning. The seat’s on this Aircraft were significantly less comfortable. A . 3-3-3 configuration and the ACDFGJ seats each have an under seat IFE box mounted on it’s side that restricts the width of legroom available. Seats appear far narrower, and not so well thought out. Although I find the cabin appealing and the ride pleasant. I’ll generally avoid this particular type of Aircraft. because I find them particularly uncomfortable in Economy, especially on a busy flight.. Again, exceptional food, great Service and a lovely hard working crew. Nonetheless, overall a very nice Economy experience, highly recommend it.",Boeing 777-300ER / 787-8,Couple Leisure,Economy Class,Bangkok to London via doha,October 2024,8,3.0,5.0,5.0,5.0,5.0,5,
"""sets a high standard""",Rashid Alammari,Qatar,2024-10-30,Trip Verified,"As a frequent flyer with Qatar Airways, I can confidently say that their service is consistently exceptional. The hospitality, from check-in to arrival, is outstanding; staff are courteous, attentive, and always ready to assist. Their scheduling is reliable and well-organized, making flights punctual and connections smooth. The ease of booking, online or through the app is incredibly user-friendly, allowing me to arrange trips without hassle. The lounge facilities are superb, offering a quiet, luxurious space to relax before flights with excellent dining options. Both ground and inflight services are top-notch, with a focus on comfort, quality, and efficiency. Qatar Airways truly sets a high standard in global air travel!",A350,Couple Leisure,Economy Class,Doha to London,October 2024,10,5.0,5.0,5.0,5.0,5.0,4,
"""rudely pushed upright by passengers""",A Mears,Australia,2024-10-29,Trip Verified,"Doha to Athens plane was small with box that blocked leg room window seats. As a person with a disability I could not move, request to move was met with only had middle seat, as business class is only for people that pay for them. When I requested to pay by points for upgrade was told none available. When people in front chose to recline hostess reaction they are allowed to recline however when we tried our seats were rudely pushed upright by passengers. I have emailed Qatar as yet no response.",,Solo Leisure,Economy Class,Sydney to Athens via Doha,October 2024,3,1.0,2.0,3.0,,4.0,2,no
"""like being in a 5 star hotel""",Martin Halshaw,United Kingdom,2024-10-28,Trip Verified,"In the past 10 days or so I've taken 4 long haul business class flights with Qatar and on all of them it's been like being in a 5 star hotel / restaurant. The cabin crew treated me like a VIP, the food & drinks were excellent and the facilities (seat, entertainment, wifi, toilets etc) were all fantastic. It is a real pleasure flying QA. The same goes for the lounges I used in Doha with the only negative being the lounges which they don't control outside of Doha.",A350-1000,Solo Leisure,Business Class,Manila to Auckland via Doha,October 2024,10,5.0,5.0,5.0,5.0,5.0,5,
Breakfast portions dismal,Brian Davies,United Arab Emirates,2024-10-27,Trip Verified,"Absolutely terrible trip. Started off well from Dubai to Doha nice 777 in first class which is business class rebranded for this route. Once in Doha the fun started in the Business Class lounge I was told I could only stay 30 minutes and access to the restaurant area was denied because they were busy, so no hot food. Staff were robotic and not at all interested. The connecting flight was an old A320 with a business class seat which was broken and they said cannot be fixed. Hardly any legroom and cramped. Poor inflight entertainment selection and no wifi. Breakfast portions dismal, left the flight hungry.",Boeing 777/A320,Business,Business Class,Dubai to Sofia via Doha,October 2024,3,1.0,4.0,2.0,,1.0,1,no
"""luggage had been severely damaged""",R Han,Singapore,2024-10-27,Trip Verified,"I discovered that my luggage had been severely damaged during the journey. The crack spanned across the depth of the luggage, from the zipper to the wheel area, and the inner linings of my baggage were clearly visible. As I had left the Airport premises when the damage was found and I acknowledged that there might not be anything the airline could have done for me, their response was the most unhelpful I have ever received. My return flight on 29 September was cancelled. The instructions to collect our baggage and hotel vouchers were poorly communicated, we only heard muffled announcements and did not receive any email or text message on what to do next. It was chaotic and the airline staff were unhelpful, it took us more than 4 hours just to collect our baggage and vouchers at the airport, before we boarded the bus to the assigned hotel.  Following my trip, I also reached out to Qatar Airways Media/Customer Service to share my feedback, however, it does not seem like they took my feedback seriously. They took more than 10 days to inform me that they had forwarded my feedback on baggage irregularities to the Baggage department in Zurich.",,Couple Leisure,Economy Class,Singapore to Zurich,September 2024,4,2.0,3.0,4.0,4.0,2.0,3,no
chaotic and confusing,C Mitchell,United Kingdom,2024-10-19,Trip Verified,,Boeing 777-300ER,Solo Leisure,Economy Class,Bangkok to Manchester via Doha,October 2024,5,2.0,2.0,1.0,2.0,2.0,2,no
""" they really are customer focused""",Craig Cutts,United Kingdom,2024-10-19,Trip Verified,"I have flown with QR 8 times this month, economy and business class. The airline is pretty good especially in economy as a Privilege club member with status, expedited check in and lounge access for both Silver & Gold levels. On board assuming you pick the right seat it's comfortable The food is good as is the service, it's very good and probably one of the best. Business class is great on any aircraft, I had my first experience of Q Suites which was nice, although I like the A380 too with a bit more space and a lounge to use. My 8th flight this month in Q suites from DOH to LHR was probably the least enjoyable, boarding was a shambles, the aircraft was a 20 minute bus ride away and once on board remained at 30c + for 45 minutes, the crew were just okay. Food options not available and the area around my seat is not cleaned with rubbish left by the previous passenger. Clearly QR and DOH airport offer great options, we all have off days so hopefully this is what happened with my last flight. Otherwise I will continue to use QR on my 8 to 10 trips each year, they really are customer focused and offer a great product they just need to get there boarding process sorted it's a bit of a let down sometimes.",A380/A350,Solo Leisure,Business Class,Bangkok to London via Doha,October 2024,9,5.0,4.0,4.0,5.0,3.0,5,
"""complaints are being overlooked""",Michael van de Tonnekreek,Netherlands,2024-10-19,Trip Verified,"Rude Staff Upon arrival at the airport, we encountered dismissive behavior from a Qatar Airways supervisor, our concerns were met with a lack of empathy, which  No Entertainment during our 7-hour flight, my wife and I were the only passengers without a functioning entertainment system. While I understand that technical issues can occur, there was no effort to provide alternatives. This left us frustrated and disappointed. I have reached out to Qatar Airways multiple times regarding these issues, but their responses have been generic and focused on unrelated matters, such as visa documentation. It feels as if our legitimate complaints are being overlooked. We chose Qatar Airways expecting world-class service, but we received anything but that. The lack of resolution has overshadowed what should have been a joyful occasion.",,Couple Leisure,Economy Class,Amsterdam to Hanoi via Doha,October 2024,3,1.0,2.0,3.0,,1.0,1,no
Poor customer service,Gavin Werrett,United Kingdom,2024-10-16,Not Verified,,,Family Leisure,Economy Class,Gatwick to Colombo via Doha,August 2024,2,2.0,4.0,3.0,3.0,3.0,2,no
"""Wonderful experience""",Sue Doffay,France,2024-10-15,Not Verified,,,Solo Leisure,Economy Class,Nice to Johannesburg via Doha,October 2024,9,5.0,5.0,4.0,4.0,4.0,5,
"""pleased with the overall comfort and service""",A Ahmed,United Kingdom,2024-10-15,Trip Verified,"No hot towels are provided, and the sweet to suck to prevent your ears-popping are no longer given out and meals were notably smaller although still sufficient. We did online check-in and there was dedicated web bag-drop which was quick, and stress-free where the friendly ground staff issued us paper boarding passes. Boarding was scheduled early but on time, and the cabin crew on our first flight from London Gatwick to Doha seemed motivated, hospitable and keen to please providing service with a warm smile. The Boeing 787 on this route is very comfortable to travel on and we arrived early into Doha, where thankfully we could have a leisurely transfer via an airbridge to the terminal and even have some time to experience The Orchard at Doha Hamad as well as a quick spot of Duty Free shopping. Our second flight to Salalah was on time, staff were a little less polished but efficient and friendly. Meals including snacks on both sectors was excellent in quality - very tasty. I was pleased with the overall comfort and service, and it provided a relaxing start to our holiday in Oman.",Boeing 787-8 / A320,Couple Leisure,Economy Class,Gatwick to Salalah via Doha,October 2024,9,5.0,5.0,5.0,3.0,5.0,5,
"""My food was appalling""",A Ahmed,United Kingdom,2024-10-15,Trip Verified,"Our outbound journey with Qatar Airways excellent and I was pleased standard had been maintained but our return journey showed how inconsistent they cab ne and that an excellent experience cannot always be counted on. After checking in online where it was communicated our flight from Doha to London would be on an A380 which we were pleased about, when we went to the airport to bag-drop we enquired if we could be seated on the upper deck economy cabin - the check-in assistant at Salalah airport was struggling to do this so consulted the Qatar Airways station manager there and he informed us the reason it wasn't possible was the plane had been changed to a 777. This plane is is cramped with 10 abreast rows when the plane is designed for 9 abreast, the seats have virtually no padding. On an overnight flight it was a very uncomfortable. The transfer experience early morning at Doha to get to that plane is stressful and chaotic - especially if they make you land at a remote stand, you will struggle to make your connecting flight. It is ridiculous to be using a remote stands and bussing people to the terminal via slow convoluted route at what is very new and modern airport. There is also bag security checks, once a general one then another random one at the gate for our flight back to London. My food was appalling on all sectors with this journey - the funny thing is on our Salalah to Doha sector we got the same meal (chicken mashkool) as on our way to Salalah a week ago, but whilst then it tasted amazing this time it tasted terrible. Cabin crew on both journeys were at best indifferent, but looked unhelpful, unmotivated, lacking warmth and miserable on the second flight from Doha to London Heathrow - this is meant to be one of their flagship routes, yet this is the standard of service.",A320 / Boeing 777-300ER,Couple Leisure,Economy Class,Salalah to London via Doha,October 2024,5,1.0,2.0,1.0,,3.0,5,no
"""My food was disgusting""",P Talpahti,Finland,2024-10-14,Trip Verified,"Helsinki-Doha operated by Finnair. Excellent service and food very good for economy class, FAs almost perfect. Qatar Airways from Doha to Johannesburg. This flight was the biggest disappointment. Service was we don't care, we just work here. My food was disgusting. Drinks served in glasses.",,Business,Economy Class,Helsinki to Johannesburg via Doha,October 2024,5,1.0,2.0,2.0,4.0,4.0,2,no
"""no cordoned off section for Business Class""",E Keele,Malaysia,2024-10-14,Trip Verified,"On 7 October 2024 we had waited for hours in Barcelona airport and were looking forward to relax in a pleasant Business Class lounge. Our dep 2250 for Doha flight checkin time was stated to be 7.45 pm, but the staff were busy chatting, not heeding the time and long queue for Economy. There was no cordoned off section for Business Class passengers. They finally opened 3 counters past check in time and it was a free for all with Economy class passengers shoving ahead. The Barcelona business class lounge, it was very disappointing. Most toilets did not work, there was hair and rubbish stuck in the sinks. In the lounge none of the power points worked for us to charge up our phones. The food offered was the worst in a Business Class Lounge. A few squares of cold lasagne, lots of snacks, and cleaning staff wheeled their wagons around the tables chucking in dirty tableware noisily. The flight to Barcelona to Doha took off late. As a result, in Doha we were not able to enjoy the Business Class lounge, and barely managed to get to our connecting flight to Kuala Lumpur, rushing through the crowded airport.",,Business,Business Class,Barcelona to Kuala Lumpur via Doha,October 2024,2,5.0,5.0,3.0,5.0,1.0,2,no
"""no compensation will be paid""",D Norton,Australia,2024-10-13,Trip Verified,"The flight from Rome to Doha was turned back and had to land in Turkey where the passengers stayed on board the plane for more than five hours before being sent to sit in seats at a departure gate. Without clear advice on the flight out of Turkey we eventually were placed on a flight to Doha. There was chaos at Doha airport with little help and communication in regard to flights to get home to Perth. The systems seemed inadequate to provide information to staff who were extremely inefficient in handling our flights back to Perth. After a further period of about 10 hours we were advised last minute of flights we were on. We had paid extra for the upper deck of an A380 plane from Doha to Perth and were placed in normal economy on the flight to Singapore. We were then placed on a Jetstar budget airline flight from Singapore to Perth.  We arrived at our destination two days late after experiencing about 4 hours of sleep over the two day period. After seeking compensation for the Doha to Perth flight, particularly for the upper deck seats we never got, they advised me that no compensation will be paid.",,Couple Leisure,Economy Class,Doha to Singapore,October 2024,2,4.0,2.0,3.0,3.0,1.0,2,no
really enjoyed the flight,Ladislav Habart,Thailand,2024-10-07,Trip Verified,,Boeing 787,Solo Leisure,Economy Class,Doha to Prague,October 2024,10,5.0,4.0,4.0,4.0,5.0,5,
happy with the way this trip was handled,Ladislav Habart,Thailand,2024-10-07,Trip Verified,,A380,Solo Leisure,Economy Class,Bangkok to Doha,October 2024,10,5.0,5.0,4.0,4.0,3.0,5,
"""air crew were particularly helpful""",Reneeta DSilva,New Zealand,2024-09-23,Trip Verified,"Amazed by the service on ground, in the air, quick baggage delivery, on time flights, clean aircraft, toilets, super entertainment. The air crew were particularly helpful and went out of their way to help, respectful and very professional. First time flew Qatar Airways but will keep an eye out when selecting airline in future. Keep it up!!",A350,Couple Leisure,Economy Class,Rome to Auckland via Doha,September 2024,10,5.0,5.0,5.0,5.0,5.0,5,
"""changed their luggage policy""",Shakeel Syed,United States,2024-09-22,Trip Verified,,,Solo Leisure,Economy Class,Karachi to Chicago via Doha,September 2024,1,3.0,2.0,2.0,2.0,1.0,1,no
"""only get an aisle seat at the airport""",Svetlana Ceban,Romania,2024-09-22,Not Verified,,,Solo Leisure,Economy Class,Beijing to Doha,September 2024,4,2.0,5.0,4.0,4.0,2.0,2,no
"""app is an utterly appalling user experience""",C Harland,United Kingdom,2024-09-22,Trip Verified,"Return trip LHR via Doha to Kuala Lumpur via, economy. Check-in via laptop failed because log-in all day said ""There's been an error. Please try later"". The app failed to work because required fields (Nationality, and Country Code - already in my profile details, but not propagated to my booking) were inert and couldn't be completed - and so I couldn't proceed to the next page. Eventually, via laptop I got a Confirmation of Check-in, but no boarding passes - which meant queueing and check in at Heathrow anyway on the day of departure. A 1-hour connection time in Doha was reduced to 30 minutes due to late arrival of our first Qatar flight, and we had to cover a long distance to the next gate (including wife with 6-month old knee replacement). It was tense, and if they hadn't delayed the subsequent flight by 20 minutes we would never have made it. Return check-in the app didn't work. We had therefore to check in at the airport in Kuala Lumpur on the morning of the flight - along with dozens and dozens of other passengers presumably with the same issue.  There was a massive queue as a result. It moved at a snail's pace because even with five desks open, the process and staff seemed laborious and slow. We barely made the gate in time, but had allowed two and a half hours for this. During the second return leg (Doha - London) the crew were pretty clumsy, one girl ramming the drinks trolley three times into my seat and the seat in front. I'm not oversized, but got barged by cabin crew going past twice, which is profoundly annoying when you're trying to sleep. The crew on this leg were not particularly friendly, although on other legs they were pleasant. The app is very good at suggesting you upgrade your seat or baggage (at cost) but is so short of real-time data as to be useless. With a paper boarding pass in hand, two hours before wheels up in Doha for LHR, the app still didn't even know I had a second flight to London. The app is an utterly appalling user experience. All the above made for far too tense an experience in both directions, so I won't be using Qatar Airways again. I chose them on the basis of good reviews, and really wanted to like Qatar Airways, but I'm disillusioned. Fairly good in-flight food and good entertainment options are not enough to mitigate all the other issues, which tarnished the start and end of a holiday.",,Couple Leisure,Economy Class,London to Kuala Lumpur via Doha,September 2024,3,3.0,2.0,3.0,5.0,1.0,3,no
"""professional & pleasant experience""",Fatema Kamal,Bahrain,2024-09-21,Not Verified,,,Family Leisure,Economy Class,Doha to Kuala Lumpur  ,July 2024,10,3.0,5.0,4.0,5.0,5.0,5,
"""flight experience was splendid""",Farooq Shah,Saudi Arabia,2024-09-18,Trip Verified,"The overall flight experience was splendid, stay at Hammad International Airport felt amazing (9 hours layover) without an inconvenience. The flight from Riyadh to Doha was a bit delayed but the connecting flights were properly managed as well as the Pilot notified this when we boarded the plane. Everything was pre-announced to ensure safety of passengers including turbulence indication. Loved how the crew was extremely professional assisting throughout the flight from Doha to Male.",Boeing 777-300ER,Couple Leisure,Economy Class,Riyadh to Male via doha,September 2024,10,5.0,5.0,5.0,4.0,5.0,5,
Flight was cramped,S Irving ,Australia,2024-09-18,Trip Verified,,,Family Leisure,Economy Class,Adelaide to Frankfurt ,September 2024,1,1.0,3.0,3.0,2.0,1.0,2,no
"""I find the legroom lacking""",Amy Cooper,United Kingdom,2024-09-16,Trip Verified,"I've flown Qatar now a few times and each time previously I wasn't sure what to write about the airline. I usually fly Emirates from GLA and even though Emirates service  has deteriorated in recent years I maintain that they are better.  The first 2 sectors from edi to KUL was so uncomfortable. I am only 5 ft and I find the legroom lacking, the width of seat was just fine for me but unfortunately the guy in the middle spilled onto mine and the one on the other side too. Online check-in was unavailable despite being told one can do everything on their app. Customer support via chat was next to useless and telephone calls went unanswered.",A350-900,Solo Leisure,Economy Class,Edinburgh to Kuala Lumpur via Doha,September 2024,4,1.0,3.0,2.0,,1.0,1,no
"""requested cash compensation""",J Meyre,United States,2024-09-15,Trip Verified,,A350-900,Family Leisure,Economy Class,Nairobi to San Francisco via Doha,August 2024,3,4.0,3.0,3.0,4.0,1.0,3,no
"""moved us to different seats""",N Webb,Australia,2024-09-14,Trip Verified,,,Family Leisure,Economy Class,Perth to Dubai via Doha,September 2024,1,,,,,2.0,2,no
"""Food was in a small portion""",Md Daud Ismail,Malaysia,2024-09-10,Trip Verified,The aircraft was in good condition. Boarding were by zone which was strictly followed and very efficient. Food was in a small portion and limited option for Southeast Asians. The cabin crew was doing their job but not the best that I have experienced. The serving of food and beverages was slow on return flights. One young female cabin crew from Indonesia interacted with customers (KUL-DOH sector) and was very hard working.,Boeing 777-300er,Solo Leisure,Economy Class,Kuala Lumpur to Doha,September 2024,5,5.0,3.0,2.0,3.0,5.0,2,
Service was excellent,H Abid,United Kingdom,2024-09-10,Not Verified,,,Couple Leisure,Economy Class,Jeddah to Manchester via Doha,September 2024,10,5.0,5.0,5.0,5.0,5.0,5,
"""food was in a small portion""",Md Daud Ismail,Malaysia,2024-09-10,Trip Verified,The aircraft was old and the toilet door was noisy during take-off and landing. The seat back couldn't move and was very uncomfortable despite sitting in the preferred seat at the emergency exit. The food was in a small portion and the serving was slow. The cabin crew was okay but not efficient. I paid for the high-fare class for an economy seat and was not impressed with the experience. Will fly this airline if the price is much lower.,Boeing 787-8,Solo Leisure,Economy Class,Doha to Gatwick,September 2024,3,1.0,2.0,3.0,3.0,5.0,1,
"""1 meal service on a 7 hour flight""",Jan Colson,United Kingdom,2024-09-09,Trip Verified,"I flew QR a number of times before the pandemic and was looking forward to flying then again. With an airline with a reputation like Qatar Airways, I expect an above average experience compared to other full-service airlines. To my surprise, this time was well below average, both outbound and inbound. Only 1 meal service on a 7 hour flight.  The quality of my food was really poor. I ordered the chicken dish and what I received was mashed potatoes with a bland sauce and two minuscule pieces of chicken.  Staff was friendly and helpful. So good points there. My impression is that Qatar Airways has been focusing on reducing costs.",Boeing 787,Solo Leisure,Economy Class,Oslo to Sharjah via Doha,August 2024,3,4.0,5.0,1.0,,4.0,4,no
"""departed from a bus gate""",Michael Schade,Germany,2024-09-08,Trip Verified,,Boeing 777,Solo Leisure,Economy Class,Dubai to Bangkok via Doha,September 2024,6,5.0,5.0,4.0,4.0,3.0,2,
"""Food poor in quality""",Michael Schade,Germany,2024-09-06,Trip Verified,"Check in at Bangkok airport efficient and friendly. New Miracle contract lounge at new Bangkok terminal better than those at the old terminal. Boarding well organized. Seats of the aging B777 are poorly padded and have below average seat pitch. Service provided by a flight attendant who really does not enjoy her job. Food poor in quality, taste and presentation. Flight on time. Champagne at the Platinum South lounge at Doha airport has been replaced by not very nice sparkling wine. Departure at Doha airport for Dubai from the feared downstairs Bus gates. It had the atmosphere of a budget terminal with insufficient seating, noise and unorganized boarding. It was off peak time at Doha airport with plenty of airbridges available! Long wait on the bus with open doors at 40 degrees. Short flight to Dubai on time on a wonderful and comfortable A350-1000.",Boeing 777/A350-1000,Solo Leisure,Economy Class,Bangkok to Dubai via Doha,September 2024,4,2.0,2.0,1.0,5.0,3.0,2,no
"""One of the best airlines""",P Dassene,United Arab Emirates,2024-09-01,Trip Verified,"One of the best airlines I ever flew with. The quality of the service and the plane is over the top, and they still managed to be less expensive that other companies! I love them.",Boeing 777,Business,Business Class,Dubai to Paris via Doha,August 2024,9,5.0,5.0,3.0,5.0,5.0,5,
"""Qatar Airways was flawless""",Rajan Parrikar,Iceland,2024-08-29,Trip Verified,,Boeing 787-8,Solo Leisure,Business Class,Goal toDoha,August 2024,10,5.0,5.0,4.0,,5.0,4,
"""cabin staff were fantastic""",Alwaleed Althani,Qatar,2024-08-27,Trip Verified,"Probably one of the first A380s received by Qatar Airways and the age showed. That said the cabin staff were fantastic expressive and attentive, the IFE was superb and the selection was wide though I would suggest a search option. WI-FI wasn’t working for me Qatar Airways need to refurbish their A380s and not wait on Boeing the 777-9s that are a long way off.",A380-800,Family Leisure,First Class,Sydney to Doha,April 2024,10,5.0,5.0,5.0,4.0,5.0,4,
a pleasure to be on board,Anne Jenner,Australia,2024-08-26,Trip Verified,,Boeing 777-800er,Couple Leisure,Business Class,Melbourne to Athens via Doha,July 2024,10,5.0,5.0,5.0,5.0,5.0,5,
emails have been ignored,T Wilson,Hong Kong,2024-08-25,Not Verified,,,Solo Leisure,Economy Class,Doha to Birmingham ,August 2024,3,4.0,5.0,5.0,5.0,1.0,3,no
cabin staff were amazing,Andrew Morgan,United Kingdom,2024-08-20,Trip Verified,,,Business,Business Class,Kolkata to London via Doha,August 2024,10,5.0,5.0,5.0,5.0,5.0,5,
help us find our missing luggages,L Alami,United Arab Emirates,2024-08-19,Trip Verified,,,Family Leisure,Economy Class,Singapore to Dubai,August 2024,1,1.0,1.0,1.0,2.0,1.0,1,no
"""seats not together""",M Marsaham,Qatar,2024-08-16,Trip Verified,,A350,Family Leisure,Economy Class,Rome to Doha,August 2024,2,2.0,1.0,2.0,2.0,2.0,1,no
